RecipeNo,name,procedure,time,cuisine,vegNonVeg,mealtype,author,likes,image
11,Hotpot,"In a large pot, bring the chicken stock, water, vinegar, soy sauce, sesame oil, ginger and garlic to a boil. Add the chicken and simmer for 5-7 minutes, until just cooked through. Add the noodles. Stir, then cover and remove from heat. Meanwhile chop all the veggies and place in serving bowls. When ready to serve, allow each person to fill their bowls with fresh vegetables and a bit of chile sauce.Ladle the scalding hot soup over the veggies and let them sit for 5 minutes. Mix and enjoy!",25,chinese,nonVeg,Dinner,Adah,0,
12,Sichuan Pork,"In a small bowl, mix together the sauce ingredients and set aside. Heat the oil in a large wok. Season the pork and sear in batches, then remove and set aside. Fry the garlic until golden – about 30 secs – then add the broccoli and onions. Stir-fry for 2 mins, then add the pork and cashews along with the sauce. Keep stir-frying for another 2-3 mins until everything is hot and simmering.",30,chinese,nonVeg,Lunch,Ayaan,1,
13,Shrimp with Vermicelli and Garlic,"Place soaked vermicelli on a plate then top with peeled prawns. Fry garlic and chilli for a few seconds then mix with other condiments. Pour the sauce over the prawns then steam for 5 minutes.Soak vermicelli noodles in warm water for 5 minutes until they are soft and pliable. Rinse under cold water and drain. Then place them onto a plate. Peel the body shell of the prawns. Put them flat on a chopping board then cut sideways from the back. Then place them on top of the noodles with the body part open flat. Fry garlic and chilli in oil over a medium heat until fragrant. Transfer to a small bowl. Add soy sauce, rice wine, water, white pepper, sugar and salt, then mix well. Spoon the sauce onto the prawns. Then place the plate into a steamer filled with water. Bring the water to a boil. Then leave to steam over a low heat for 5 minutes.Garnish with spring onion if you wish. Serve warm with plain rice.",17,chinese,nonVeg,Lunch,Anika,0,
14,Dumplings,"Peel the body shell of the prawns. Put them flat on a chopping board then cut sideways from the back. Then place them on top of the noodles with the body part open flat. Fry garlic and chilli in oil over a medium heat until fragrant (do not burn). Transfer to a small bowl. Add soy sauce, rice wine, water, white pepper, sugar and salt, then mix well. Spoon the sauce onto the prawns. Then place the plate into a steamer filled with water. Bring the water to a boil. Then leave to steam over a low heat for 5 minutes. Garnish with spring onion if you wish. Serve warm with plain rice.",20,chinese,veg,Snacks,Bhuv,1,
15,Chow Mein,"Take water in a pan, add salt followed by olive oil and bring to boil. Add noodles and cook 'bite like' -- just blanch if fresh and cook longer if dry. Drain immediately and cool under running water till noodles are thoroughly cooled. Work 1 tablespoon of the oil into the noodles and leave in the colander till required. Now, heat some oil in a heavy bottom pan and stir- fry garlic, ginger garlic paste and onions over high heat till onions are golden brown. Add celery and mushrooms followed by red and green capsicum along with carrot. Stir well. Now add salt, black pepper powder, tomato sauce, chilli sauce, soy sauce and vinegar to veggie mixture. Mix well. Add the noodles to this and stir well till it is thoroughly mixed.Garnish with red capsicum and pour the prepared green-chilli vinegar mix on top.",35,chinese,veg,Dinner,Asmee,1,
16,Peking Roasted Duck,"Rinse the duck inside and out, and pat dry. Cut off tail and discard. In a small bowl, mix together the cinnamon, ginger, nutmeg, white pepper and cloves. Sprinkle one teaspoon of the mixture into the cavity of the duck. Stir one tablespoon of the soy sauce into the remaining spice mixture and rub evenly over the entire outside of the bird. Cut one of the green onions in half and tuck inside the cavity. Cover and refrigerate the bird for at least 2 hours, or overnight. Place duck breast side up on a rack in a big enough wok or pot and steam for an hour adding a little more water, if necessary, as it evaporates. Lift duck with two large spoons, and drain juices and green onion. Preheat the oven to 375 degrees F (190 degrees C). Place duck breast side up in a roasting pan and prick skin all over using a fork.Roast for 30 minutes in the preheated oven. While the duck is roasting, mix together the remaining 2 tablespoons of soy sauce and honey. After 30 minutes, brush the honey mixture onto the duck and return it to the oven. Turn the heat up to 500 degrees F (260 degrees C). Roast for 5 minutes, or until the skin is richly browned. Do not allow the skin to char.
Prepare the duck sauce by mixing the plum jam with the sugar, vinegar and chutney in a small serving bowl. Chop remaining green onions and place them into a separate bowl. Place whole duck onto a serving platter and garnish with orange slices and fresh parsley. Use plum sauce and onions for dipping.",230,chinese,nonVeg,Lunch,Idant,0,
17,Fried Shrimp with Cashew Nuts,"In a small bowl, mix together the soy sauce, rice wine vinegar, brown sugar, oyster sauce, and sesame oil. Set aside. Heat the vegetable oil in a wok or large skillet over high heat and add the shrimp and stir fry until pink (about 2 minutes). Remove from wok and set aside. Using the same pan, add in the garlic and ginger and stir to combine. Cook for about a minute. Pour in the sherry. Stir it around, scraping the bottom of the pan to loosen all the flavorful bits that may have stuck to the wok. Cook for about 2 minutes to cook off the alcohol.Turn the heat to medium-low and pour in the sauce mixture, then mix in the cornstarch mixture. Stir the sauce for 1 to 2 minutes to thicken, then add the cashews and pepper (to taste). stir to coat everything with the sauce. You can add a little water if the sauce looks too thick.  Add the shrimp to the sauce. Sprinkle on the green onions. Serve with cooked rice.",10,chinese,nonVeg,Dinner,Avni,1,
18,Kung Pao Chicken,"Combine 1 tablespoon wine, 1 tablespoon soy sauce, 1 tablespoon oil and 1 tablespoon cornstarch/water mixture and mix together. Place chicken pieces in a glass dish or bowl and add marinade. Toss to coat. Cover dish and place in refrigerator for about 30 minutes. In a small bowl combine 1 tablespoon wine, 1 tablespoon soy sauce, 1 tablespoon oil, 1 tablespoon cornstarch/water mixture, chili paste, vinegar and sugar. Mix together and add green onion, garlic, water chestnuts and peanuts. In a medium skillet, heat sauce slowly until aromatic. Meanwhile, remove chicken from marinade and saute in a large skillet until meat is white and juices run clear. When sauce is aromatic, add sauteed chicken to it and let simmer together until sauce thickens.",90,chinese,nonVeg,Lunch,Hem,0,
19,Ma Po Tofu,"Combine ground meat, cooking wine, soy sauce, and ginger in a bowl. Mix well. Combine cornstarch with 1 tablespoon water in a small bowl. Mix well and set aside. Heat vegetable oil and Sichuan peppercorns in a large nonstick skillet over medium high heat. When the Sichuan peppercorns turn dark brown and crispy, scoop them out with spatula and transfer into a bowl layered with paper towel to soak extra oil. Save to use for garnish the dish.
When oil is hot, add ground meat and Doubanjiang. Stir-fry over medium heat with a spatula, until pork is evenly coated with Doubanjiang. Add green onion and stir fry for another minute. Spread tofu evenly on top of ground pork (*See footnote 3). Add chili oil, five-spice powder, and sugar. Pour in water and cook until bringing to a simmer. Simmer, covered, over low heat for 10 to 15 minutes, until tofu becomes tender and the sauce has reduced to half the original amount. Taste the tofu with some broth (be careful, it will be very hot!). Adjust seasoning by adding salt. If the dish is too spicy, add another teaspoon of sugar. Gently mix well with spatula. Meanwhile, ground the fried Sichuan peppercorns (you used when heating up the oil) in a coffee grinder or by using mortar and pastel. Mix cornstarch water again until fully dissolved and swirl it into the skillet. Gently stir a few times with a spatula, until sauce thickens. Turn off heat and transfer everything to a bowl.Garnish with green onion and a small pinch the ground Sichuan peppercorns. Serve warm over steamed rice or by itself as main.",25,chinese,nonVeg,Dinner,Drishti,1,
20,Wontons,"In a bowl, mix the ground pork, shrimp, soy sauce, sesame oil and white pepper together. Stir to combine well to form a sticky filling. To wrap the wontons, lay a piece of the wonton wrapper on your palm and add 1/2 tablespoon of the filling in the middle of the wrapper. Dip your index finger into the sealing water and trace it on the outer edges of the wonton wrapper. You can wrap the wontons three ways. To make a triangle, just fold it up to form a triangle. Pinch the edges to seal tight. To make them into the pretty shape, just pull the two corners of the triangle down so one overlaps the other, pinch and seal with water. To make them into Hong Kong style wonton. Heat up some oil for deep-frying. Once the oil is fully heated, deep fry the wontons until golden brown. Drain the excess oil with paper towels. Serve hot with chinese sweet and sour sauce or thai sweet chili sauce.  ",30,chinese ,veg,Snacks,Ishank,0,
21,Pizza,"To prepare this delicious Cheese Pizza recipe, preheat the oven on convection mode at 250 degree Celsius. Meanwhile, spread the tomato sauce evenly on each pizza base. Take a chopping board and chop onions, tomatoes, capsicum and mushroom on it.
Mix all the chopped vegetables and seasoning in a bowl. Microwave these vegetables in a microwave safe bowl for around 30-40 seconds. Spread this vegetable topping on each pizza base. Sprinkle grated mozzarella cheese at the top of each pizza. You can either bake this pizza in a microwave or you can use a non-stick tawa for the same. However, in this recipe we have used microwave. Bake the pizza on the high rack at 250 degree Celsius till the cheese melts. It will take around 10-12 minutes. Cut the delicious Cheese Pizza into slices and serve with sauces.
",40,italian,veg,Lunch,Ishana,1,
22,Lasagna,"In a Dutch oven, cook sausage, ground beef, onion, and garlic over medium heat until well browned. Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, italian seasoning, 1 teaspoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally. Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water. In a mixing bowl, combine ricotta cheese with egg, remaining parsley, and 1/2 teaspoon salt. Preheat oven to 375 degrees F (190 degrees C). To assemble, spread 1 1/2 cups of meat sauce in the bottom of a 9x13 inch baking dish. Arrange 6 noodles lengthwise over meat sauce. Spread with one half of the ricotta cheese mixture. Top with a third of mozzarella cheese slices. Spoon 1 1/2 cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese. Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray, or make sure the foil does not touch the cheese. Bake in preheated oven for 25 minutes. Remove foil, and bake an additional 25 minutes. Cool for 15 minutes before serving.",195,italian,nonVeg,Dinner,Jash,1,
23,Fiorentina Steak,"Remove the steak from the refrigerator at least 1 hour before grilling to let it come to room temperature. Preheat your grill to a high to medium-high heat. Brush the steak on all sides with olive oil and season one side with coarse salt and pepper. Grill the steak, seasoned side down for 5 minutes. Season the second side and flip the steak. Grill on the second side for 5 minutes. Flip the steak again to grill for another 4-5 minutes on the first side. Then, flip the steak a final time. Using a meat thermometer or instant-read thermometer, insert it into the side of the steak so that it is about center of the strip. Use the temperature to determine how long you need to continue cooking your steak. When the meat is done to your liking, remove it from grill and let it rest for 5 minutes for the juices to settle. After resting, carve the filet and strip steaks off of the bone. Slice each steak against the grain and arrange it on a serving platter.
Serve with extra coarse salt and pepper, as desired.
",25,italian,nonVeg,Lunch,Ishita,0,
24,Ribollita,"In your largest thick-bottomed pot over medium heat combine the olive oil, celery, garlic, carrot, and red onion. Cook for 10 -15 minutes sweating the vegetables, but avoid any browning. Stir in the tomatoes and red pepper flakes, and simmer for another 10 minutes or so, long enough for the tomatoes to thicken up a bit. Stir in the cavolo nero, 3 cups of the beans, and 8 cups / 2 liters water. Bring to a boil, reduce the heat, and simmer until the greens are tender, about 15 minutes.In the meantime, mash or puree the remaining beans with a generous splash of water - until smooth. Tear the bread into bite-sized chunks. Stir both the beans and bread into the soup. Simmer, stirring occasionally, until the bread breaks down and the soup thickens, 20 minutes or so. Stir in the salt, taste and add more if needed. Stir in the lemon zest.Serve immediately, or cool and refrigerate overnight. Serve reheated, or ""ribollita"" meaning reboiled, the next day ladled into bowls. Finish each serving with a drizzle of olive oil and some chopped olives.",40,italian,veg,Lunch,Jay,1,
25,Truffles,"Place the chocolate in a heat-proof bowl. Set aside.Heat the heavy cream until it is simmering. You can heat it on the stove or in the microwave. Add the butter, if using, to the chocolate and pour the heavy cream evenly on top. Let the warm cream and chocolate sit for 5 minutes minutes. Add the vanilla extract then stir until the chocolate has completely melted. Place a piece of plastic wrp directly on the surface (to avoid condensation) and refrigerate for 1-2 hours. Tip: Pour into a flat shallow dish, such as a 8×8 inch baking pan, so the mixture evenly and quickly sets. Scoop the set truffle mixture into 2 teaspoon-sized mounds. This cookie scoop is the perfect size. For larger truffles, 1 Tablespoon size mounds. Roll each into balls. This gets a little sticky, so see my tips above.Roll each into toppings, if desired. Truffles taste best at room temperature! Cover tightly and store truffles at room temperature for 3-4 days or in the refrigerator for up to 2 weeks.",150,italian,veg,Snacks,Krisha,0,
26,Focaccia,"In a cold medium skillet, combine olive oil, minced garlic, thyme, rosemary, and the black pepper. Place the pan over low heat and cook, stirring occasionally, 5 to 10 minutes or until aromatic, but before the garlic browns. Set aside. In a large bowl, combine the warm water, yeast, and honey. Stir a few times then let sit for 5 minutes.Add 1 cup of the flour and a 1/4 cup of the infused garlic-olive oil mixture to the bowl with yeast and honey. Stir 3 to 4 times until the flour has moistened. Let sit for another 5 minutes. Stir in the remaining 1 1/2 cups of flour and the salt. When the dough comes together, transfer to a floured board and knead 10 to 15 times until smooth.Transfer the dough to a large oiled bowl, cover with a warm, damp towel and let rise for 1 hour.",120,italian,veg,Breakfast,Kabir,1,
27,Coffee,"In a cup add instant coffee and sugar. Add 3 tablespoons hot boiling water. ¼ cup hot water can also be added. First mix the coffee and sugar with water and begin to stir briskly and beat coffee for 3 to 4 minutes. Beat the coffee till its color lightens and you see a frothy layer on top. Then take 1 cup milk in a small but heavy sauce pan and on a medium to medium-high flame boil it. When the milk comes to boil pour the milk in a glass jar or a thermos flask. Do not use any plastic bottle or jar. you can use a steel bottle also. a glass jar with a handle helps while shaking as the milk is hot. Now shake the jar vigorously for 1 to 2 minutes. alternatively to get the froth on milk, you can also use a handheld frother. milk can be blended in a blender also. There should be a nice layer of frothy foam on the milk. Pour the foamy milk in the cup containing coffee. After adding ⅓ or ½ of the milk to the coffee, stir with a spoon. you can even move the cup so that the milk get mixed with the coffee. Then pour remaining milk along with the frothy layer. Serve cafe style coffee straightway. You can even sprinkle some cinnamon powder or cocoa powder on top. enjoy this homemade cafe style coffee. ",10,italian,veg,Snacks,Mayika,1,
28,Gelato,"In a medium saucepan, mix milk and cream. Warm until foam forms around the edges. Remove from heat. In a large bowl, beat the egg yolks and sugar until frothy. Gradually pour the warm milk into the egg yolks, whisking constantly. Return mixture to saucepan; cook over medium heat, stirring with a wooden spoon until the mixture gels slightly and coats the back of the spoon. If small egg lumps begin to show, remove from heat immediately. Pour the mixture through a sieve or fine strainer into a bowl. Cover, and chill for several hours or overnight. Pour the mixture into an ice cream maker, and freeze according to the manufacturer's instructions. Transfer to a sealed container, and freeze until firm. If the gelato is too firm, place it in the refrigerator until it reaches the desired consistency.",180,italian,veg,Snacks,Kairav,1,
29,Tiramisu,"You need a large 9×13 inch baking pan/dish with at least a 12-14 cup capacity. You will form 2 layers each of dipped ladyfingers and mascarpone cream. Let’s begin with the 1st layer of ladyfingers. Whisk the espresso and Grand Marnier together in a shallow bowl. One at a time, quickly dip each side of the ladyfinger into the espresso mixture. You don’t want to over-saturate the ladyfinger with liquid because then the ladyfingers will taste soggy. Just a quick dip on each side. Arrange the dipped ladyfingers in the baking pan to make one solid layer. If needed, cut some ladyfingers to fill in any empty spaces. Reserve remaining espresso mixture and ladyfingers for another layer. With a handheld or stand mixer fitted with a paddle or whisk attachment, beat the mascarpone and rum together on medium speed in a large bowl until smooth. Set aside. If you have a double boiler, use it in this step. If you don’t, place a heat-proof bowl over a small pot of simmering water over medium-low heat. ",180,italian,nonVeg,Snacks,Mayra,0,
30,Pasta,"Heat a saucepan. keep the flame to a low and add 2 tablespoons butter. When the butter melts and starts to bubble, then add 1 tablespoon whole wheat flour or 2 tablespoons all-purpose flour. Using a wired whisk stir the flour quickly as soon as you add it. Keep on stirring so that no lumps are formed. The frequent stirring helps the flour to cook evenly. You will see the flour frothing and bubbling up while stirring. Sauté the flour till you get a nice cooked aroma from the flour and a pale golden color. Don't brown the flour. Keep the flame to the lowest and then pour 1 cup chilled milk in a gentle stream. Pour the milk with one hand and stir the sauce mixture with the other. The milk has to be chilled, so that lumps are not formed. If you use hot or warm milk or milk at room temperature, lumps can be formed. Do stir frequently while the milk warms and heats up.",25,italian,veg,Lunch,Kevin,1,
31,Tom Yum goong,"Pour stock into a soup pot. Add the prepared lemongrass, plus the lime leaves, chili, garlic, and galangal or ginger. Bring to a boil and continue boiling for 5 minutes, or until broth is very fragrant. Add the mushrooms. Reduce heat to medium and simmer for 5 to 8 minutes, or until mushrooms are soft. Add the bok choy and cherry tomatoes. Gently simmer 1 to 2 more minutes. Reduce heat to low and add the coconut milk if using, sugar, soy sauce, and lime juice. To serve, ladle soup into bowls with fresh basil and coriander sprinkled over.",35,thai,veg,Dinner,Meher,0,
32,Som Tum,Peel the raw papaya and grate it.Toss all the ingredients together with the grated papaya. Serve it on a bed of cabbage.,15,thai,veg,Breakfast,Laksh,1,
33,Tom Kha Gai,"In a medium saucepan, combine coconut milk, broth, ginger, and lemongrass and bring to boil over high heat. Add chicken, mushrooms, lime juice, fish sauce, sugar, and chili paste. Reduce heat and simmer until chicken is firm and opaque, 5 to 10 minutes. Discard lemongrass. Garnish servings with basil and cilantro.",20,thai,nonVeg,Lunch,Mira,0,
34,Gaeng Daeng,"Heat oil in a medium pot over medium heat. Add curry paste and stir until fragrant, 2 to 3 minutes. Add pork. Stir-fry until cooked through and coated in curry paste, 3 to 5 minutes more. Add coconut milk and bring to a gentle boil. Add squash. Reduce heat and simmer until squash is barely cooked through, 7 to 10 minutes. Add cabbage and simmer 5 minutes more. Season with fish sauce and sugar.",40,thai,nonVeg,Lunch,Luv,0,
35,Pad thai,"Place noodles in a large bowl, pour over plenty of boiling water. Soak for 5 minutes, then drain in a colander and quickly rinse under cold water. Don't leave them sitting around for more than 5 - 10 minutes. Mix Sauce in small bowl. Heat 2 tbsp oil in a large non stick pan (or well seasoned skillet) over high heat. Add garlic and onion, cook for 30 seconds. Add chicken and cook for 1 1/2 minutes until mostly cooked through. Push to one side of the pan, pour egg in on the other side. Scramble using the wooden spoon (add touch of extra oil if pan is too dry), then mix into chicken. Add bean sprouts, tofu, noodles then Sauce. Toss gently for about 1 1/2 minutes until Sauce is absorbed by the noodles. Add garlic chives and half the peanuts. Toss through quickly then remove from heat. Serve immediately, sprinkled with remaining peanuts and lime wedges on the side, with a sprinkle of chilli and a handful of extra beansprouts on the side. Squeeze over lime juice to taste before eating.",30,thai,nonVeg,Dinner,Prisha,1,
36,Khao Pad,"Choose and prepare vegetables. Select a combination with a variety of colors. In a wok, heat the oil and stir fry the ginger and garlic until golden. Remove them with a slotted spoon and save for later. In the same oil, stir-fry the vegetables until just cooked. Add the harder ones (like carrots) first, and the tender ones (like sprouts) last. Remove the vegetables from the wok and set aside. Add the rice to the wok and heat thoroughly. With your stirring spoon, make a hole in the center of the rice, down to the wok and put in the eggs. Stir until they are pretty well set before you mix them into the rice. The more you cook the eggs before stirring them into the rice, the drier the dish will be. Add the tomatoes, the reserved ginger and garlic and the stir-fried vegetables. Finally, mix in the chili sauce, soy sauce and lime juice. For serving, top each serving with thin slices of scallions. Put thin slices of lime on the side.",45,thai,nonVeg,Lunch,Manan,1,
37,Pad Krapow moo,"In a wok over medium high heat, add the oil, shallots and garlic, and fry for 3 minutes. Add the chilies and cook for another minute. Crank up the heat to high, and add the ground pork, breaking it up into small bits and allowing it to crisp up. Add the sugar, fish sauce, soy sauce, dark soy sauce, and oyster sauce. Stir-fry for another minute and deglaze the pan with the broth or water. Because your pan is over high heat, the liquid should cook off very quickly. Add the basil, and stir-fry until wilted. Serve over rice.",15,thai,nonVeg,Dinner,Ryka,1,
38,Biriyani,"Place pot with chicken in it onto a stove over medium heat. Cover and cook for 5 minutes. Remove lid. Cook for 5 minutes, turning chicken twice. Remove from heat. Turn chicken so skin side is down - it should cover most of the base of the pot. Scatter over half the onion then half the coriander.Top with all the rice. Gently pat down and flatten surface. Drizzle saffron across rice surface in random pattern, then drizzle over ghee. Place lid on. Return to stove over medium heat. As soon as you see steam, turn down to low then cook for 25 minutes. Remove from stove, rest with lid on for 10 minutes.",100,indian,nonVeg,Lunch,Naksh,0,
39,Chicken Butter Masala,"Heat 2 tsp of oil in a pan with butter. Add cloves, cinnamon stick, mace and cardamom. Saute and then add chopped tomatoes, garlic and ginger. Mix well and then grind well. In another pan, heat another two cubes of butter, along with ginger garlic paste. Add the tomato puree made from the mixture. Now add red chilli powder, kasuri methi, honey and finally the roasted chicken pieces. Let it simmer. Add green chilli, cardamom powder and cream. Mix well. Serve with a teaspoon of cream over.",50,indian,nonVeg,Dinner,Saanvi,0,
40,Tandoori Chicken,"In a bowl add ginger and garlic paste, red chilli paste, chaat masala, tandoori masala, oil, curd, salt and lemon juice. Mix it well. Rub the marinade on the chicken pieces, over the skin and underneath it. Make small gashes in the chicken pieces for the marinade to coat it nicely. Marinate the chicken pieces for 30 minutes.Char grill the chicken pieces on a griller or tandoor. Taste with oil at regular intervals. Serve with lemon wedges and onion rings.In a pan dry roast cinnamon, peppercorns, green cardamom, brown cardamom, coriander seeds, cumin seeds, cloves, bay leaf and turmeric powder. In a mortar and pestle grind the dry roasted spices into a fine powder. Masala is ready. If you are making it in an oven, the temperature needs to be around 250-300 degrees C. Serve hot.",65,indian,nonVeg,Lunch,Nimit,0,
